微博热搜榜 Top 20 - 2026-05-02
==================================================

1. 胖东来正式起诉博主惊梦人
8. 余华辅导儿子语文后考试不及格
   热度: 331107
   链接: https://s.weibo.com/weibo?q=%E4%BD%99%E5%8D%8E%E8%BE%85%E5%AF%BC%E5%84%BF%E5%AD%90%E8%AF%AD%E6%96%87%E5%90%8E%E8%80%83%E8%AF%95%E4%B8%8D%E5%8F%8A%E6%A0%BC

9. 一个bug是bug 一堆bug能work
   热度: 328207
   链接: https://s.weibo.com/weibo?q=%E4%B8%80%E4%B8%AAbug%E6%98%AFbug%20%E4%B8%80%E5%A0%86bug%E8%83%BDwork

10. 突然就懂了朋友和好朋友的区别
   热度: 215107
   链接: https://s.weibo.com/weibo?q=%E7%AA%81%E7%84%B6%E5%B0%B1%E6%87%82%E4%BA%86%E6%9C%8B%E5%8F%8B%E5%92%8C%E5%A5%BD%E6%9C%8B%E5%8F%8B%E7%9A%84%E5%8C%BA%E5%88%AB

11. 杨幂脸上烫伤还没好
   热度: 622405
   链接: https://s.weibo.com/weibo?q=%E6%9D%A8%E5%B9%82%E8%84%B8%E4%B8%8A%E7%83%AB%E4%BC%A4%E8%BF%98%E6%B2%A1%E5%A5%BD

12. 时代峰峻回应严浩翔家庭事宜
   热度: 562291
   链接: https://s.weibo.com/weibo?q=%E6%97%B6%E4%BB%A3%E5%B3%B0%E5%B3%BB%E5%9B%9E%E5%BA%94%E4%B8%A5%E6%B5%A9%E7%BF%94%E5%AE%B6%E5%BA%AD%E4%BA%8B%E5%AE%9C

13. 西安上空现不明物持续一小时后消失
   热度: 512556
   链接: https://s.weibo.com/weibo?q=%E8%A5%BF%E5%AE%89%E4%B8%8A%E7%A9%BA%E7%8E%B0%E4%B8%8D%E6%98%8E%E7%89%A9%E6%8C%81%E7%BB%AD%E4%B8%80%E5%B0%8F%E6%97%B6%E5%90%8E%E6%B6%88%E5%A4%B1

14. 何炅回应王鹤棣情绪失控
   热度: 481047
   链接: https://s.weibo.com/weibo?q=%E4%BD%95%E7%82%85%E5%9B%9E%E5%BA%94%E7%8E%8B%E9%B9%A4%E6%A3%A3%E6%83%85%E7%BB%AA%E5%A4%B1%E6%8E%A7

15. DeepSeek 现在我是你爹了
   热度: 412233
   链接: https://s.weibo.com/weibo?q=DeepSeek%20%E7%8E%B0%E5%9C%A8%E6%88%91%E6%98%AF%E4%BD%A0%E7%88%B9%E4%BA%86

16. 何洁听跳楼机还没到副歌就直接关掉了
   热度: 358651
   链接: https://s.weibo.com/weibo?q=%E4%BD%95%E6%B4%81%E5%90%AC%E8%B7%B3%E6%A5%BC%E6%9C%BA%E8%BF%98%E6%B2%A1%E5%88%B0%E5%89%AF%E6%AD%8C%E5%B0%B1%E7%9B%B4%E6%8E%A5%E5%85%B3%E6%8E%89%E4%BA%86

17. 戚薇也在嗑张凌赫田曦薇
   热度: 342741
   链接: https://s.weibo.com/weibo?q=%E6%88%9A%E8%96%87%E4%B9%9F%E5%9C%A8%E5%97%91%E5%BC%A0%E5%87%8C%E8%B5%AB%E7%94%B0%E6%9B%A6%E8%96%87

18. 日本战犯竟称侵华是为了管教兄弟
   热度: 138657
   链接: https://s.weibo.com/weibo?q=%E6%97%A5%E6%9C%AC%E6%88%98%E7%8A%AF%E7%AB%9F%E7%A7%B0%E4%BE%B5%E5%8D%8E%E6%98%AF%E4%B8%BA%E4%BA%86%E7%AE%A1%E6%95%99%E5%85%84%E5%BC%9F

19. 湖人vs火箭
   热度: 200601
   链接: https://s.weibo.com/weibo?q=%E6%B9%96%E4%BA%BAvs%E7%81%AB%E7%AE%AD

20. 承诺买房送69万黄金开发商久不兑现
   热度: 184409
   链接: https://s.weibo.com/weibo?q=%E6%89%BF%E8%AF%BA%E4%B9%B0%E6%88%BF%E9%80%8169%E4%B8%87%E9%BB%84%E9%87%91%E5%BC%80%E5%8F%91%E5%95%86%E4%B9%85%E4%B8%8D%E5%85%91%E7%8E%B0

